date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:38:10	173/173	---M-Z	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2022:38:08%20GMT	https://www.tdp-arch.com/robots.txt		(from )
17:38:10	60019/60019	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:09%20GMT	https://www.tdp-arch.com/	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/index.html	(from )
17:38:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2029%20Oct%202022%2022:38:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/glenxo/websites/Musicians_landing.page/www.googletagmanager.com/gtm.05445.delayed	(from https://www.tdp-arch.com/)
17:38:12	2611/2611	---M--	200	added ('OK')	image/png	etag:%22a33-5eb3cbb26ca80%22	https://www.tdp-arch.com/img/favicon.png	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/img/favicon.png	(from https://www.tdp-arch.com/)
17:38:13	6841/6841	---M--	200	added ('OK')	image/png	etag:%221ab9-5eb3cbb26ca80%22	https://www.tdp-arch.com/img/apple-touch-icon.png	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/img/apple-touch-icon.png	(from https://www.tdp-arch.com/)
17:38:14	1438/1438	---M--	200	added ('OK')	image/png	etag:%2259e-5eb3cbb26ca80%22	https://www.tdp-arch.com/img/favicon-32x32.png	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/img/favicon-32x32.png	(from https://www.tdp-arch.com/)
17:38:15	1216/1216	---M--	200	added ('OK')	image/png	etag:%224c0-5eb3cbb26ca80%22	https://www.tdp-arch.com/img/favicon-16x16.png	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/img/favicon-16x16.png	(from https://www.tdp-arch.com/)
17:38:16	426/426	---M--	200	added ('OK')	text/html	etag:%221aa-5eb3cbb26ca80%22	https://www.tdp-arch.com/img/site.webmanifest	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/img/site.html	(from https://www.tdp-arch.com/)
17:38:17	226451/226451	---M-Z	200	added ('OK')	text/css	etag:%2237493-5eb3cbb26ca80-gzip%22	https://www.tdp-arch.com/css/main.css?id=d3f5e3225442a08261f7	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/css/main8e62.css	(from https://www.tdp-arch.com/)
17:38:18	7627/7627	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Oct%202022%2022:38:18%20GMT	https://use.typekit.net/yqo5vxu.css	/home/glenxo/websites/Musicians_landing.page/use.typekit.net/yqo5vxu.css	(from https://www.tdp-arch.com/)
17:38:19	225/225	---M-Z	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2022:38:19%20GMT	https://www.tdp-arch.com/humans.txt	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/humans.txt	(from https://www.tdp-arch.com/)
17:38:21	1649585/1649585	---M--	200	added ('OK')	image/svg+xml	etag:%22192bb1-5eb3cbb26ca80%22	https://www.tdp-arch.com/img/logo.svg	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/img/logo.svg	(from https://www.tdp-arch.com/)
17:38:21	32629/32629	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:21%20GMT	https://www.tdp-arch.com/portfolio	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/portfolio.html	(from https://www.tdp-arch.com/)
17:38:28	29586/29586	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:22%20GMT	https://www.tdp-arch.com/services	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/services.html	(from https://www.tdp-arch.com/)
17:38:30	47019/47019	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:29%20GMT	https://www.tdp-arch.com/services/architecture	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/services/architecture.html	(from https://www.tdp-arch.com/)
17:38:31	29531/29531	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:30%20GMT	https://www.tdp-arch.com/services/commercial-property-for-sale	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/services/commercial-property-for-sale.html	(from https://www.tdp-arch.com/)
17:38:32	21622/21622	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:31%20GMT	https://www.tdp-arch.com/services/commercial-development	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/services/commercial-development.html	(from https://www.tdp-arch.com/)
17:38:33	22076/22076	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:33%20GMT	https://www.tdp-arch.com/industries	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/industries.html	(from https://www.tdp-arch.com/)
17:38:35	34797/34797	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:34%20GMT	https://www.tdp-arch.com/industries/hospitality	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/industries/hospitality.html	(from https://www.tdp-arch.com/)
17:38:36	32499/32499	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:35%20GMT	https://www.tdp-arch.com/industries/healthcare	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/industries/healthcare.html	(from https://www.tdp-arch.com/)
17:38:38	30218/30218	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:36%20GMT	https://www.tdp-arch.com/industries/emergency-services	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/industries/emergency-services.html	(from https://www.tdp-arch.com/)
17:38:39	31436/31436	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:38%20GMT	https://www.tdp-arch.com/industries/corporate	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/industries/corporate.html	(from https://www.tdp-arch.com/)
17:38:40	27485/27485	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:39%20GMT	https://www.tdp-arch.com/industries/industrial	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/industries/industrial.html	(from https://www.tdp-arch.com/)
17:38:41	37442/37442	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:41%20GMT	https://www.tdp-arch.com/industries/retail-interior-design-firms	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/industries/retail-interior-design-firms.html	(from https://www.tdp-arch.com/)
17:38:43	26803/26803	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:42%20GMT	https://www.tdp-arch.com/industries/government	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/industries/government.html	(from https://www.tdp-arch.com/)
17:38:44	41872/41872	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:43%20GMT	https://www.tdp-arch.com/industries/education	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/industries/education.html	(from https://www.tdp-arch.com/)
17:38:45	31687/31687	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:45%20GMT	https://www.tdp-arch.com/industries/church-design-firm	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/industries/church-design-firm.html	(from https://www.tdp-arch.com/)
17:38:47	25748/25748	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:46%20GMT	https://www.tdp-arch.com/industries/multi-family	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/industries/multi-family.html	(from https://www.tdp-arch.com/)
17:38:48	56859/56859	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:47%20GMT	https://www.tdp-arch.com/about	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/about.html	(from https://www.tdp-arch.com/)
17:38:49	23824/23824	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:49%20GMT	https://www.tdp-arch.com/about/contact	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/about/contact.html	(from https://www.tdp-arch.com/)
17:38:50	27566/27566	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:50%20GMT	https://www.tdp-arch.com/about/news-updates	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/about/news-updates.html	(from https://www.tdp-arch.com/)
17:38:52	31198/31198	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2022:38:51%20GMT	https://www.tdp-arch.com/about/careers	/home/glenxo/websites/Musicians_landing.page/www.tdp-arch.com/about/careers.html	(from https://www.tdp-arch.com/)
